,words,category,SA Average,Total Turns,Message Frequency Sim 0,Message Frequency Sim 1,Message Frequency Sim 2,Message Frequency Sim 3,Sentiment Negative,Sentiment Neutral,Sentiment Positive,Sentiment Compound,NN,VB,CC,JJ,VBG,RB,VBD,VBN,JJS,VBP,IN,NNS,JJR,CD,MD,UH,WP,WRB,FW,DT,RBR,VBZ,TO,PRP,WDT,NNP,RP,RBS
414-4,yep help side neither spread pick area going fire,1,0.0,4.0,0.0,0.001893939393939394,-0.0001,0.0,0.0345,0.597,0.3685,0.08947499999999999,1.0,0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411-4,double kill well wood pretty much gone house left half forest gone fired well professional success ability professional electrical engineering major built radio today minute yet guy exactly refer instruction pamphlet show time good pay also help work hard get payed minimum wage give minimum work engineering like wood time doe best buy close woman tell everyone wa first thing head long round,1,6.130434782608695,23.0,0.01694915254237288,0.002320185614849188,0.00423728813559322,0.00273224043715847,0.021782608695652173,0.8275652173913043,0.15065217391304347,0.15727826086956523,1.0869565217391304,0.17391304347826086,0.0,0.5652173913043478,0.0,0.34782608695652173,0.043478260869565216,0.21739130434782608,0.08695652173913043,0.17391304347826086,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439-2,yes good idea bottom left yes condition professional success focus dedication consistency sound good true think wow yes wa looking,1,6.25,12.0,-0.0,0.0,0.0,0.0,0.0,0.60375,0.39625,0.3119083333333333,0.5833333333333334,0.0,0.0,0.5,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-2,ill take upper house ill take lower part forest dont think easier truck stay house watch house forest ill bottom forest yea ill watch right house ill watch middle also ill try stay bottom right side water cant also middle bottom forest,1,6.428571428571429,14.0,0.0,0.015625,0.0020408163265306124,-0.0001,0.16599999999999998,0.6497857142857144,0.1842142857142857,-0.09675714285714286,1.3571428571428572,0.21428571428571427,0.0,0.6428571428571429,0.0,0.14285714285714285,0.0,0.0,0.21428571428571427,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-3,hey take north yea got north ill take north house truck truck north take upper left right think top next fire stay bottom one stay bottom take top left think left right big fire middle help top right suggestion like since get time plan probably wo time game min left sure lot fire oh,1,6.545454545454545,22.0,0.017777777777777778,0.004711425206124852,0.008350730688935281,0.03305785123966942,0.035454545454545454,0.8962727272727274,0.06831818181818182,0.05170909090909092,0.9090909090909091,0.18181818181818182,0.0,0.6363636363636364,0.0,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.0,0.13636363636363635,0.13636363636363635,0.09090909090909091,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-2,split thing better time yeah stay close water tower move location one time fire truck helicopter look like fire,1,6.6,5.0,-0.0,-0.0,0.0,0.0,0.10900000000000001,0.7246,0.16640000000000002,0.15152,2.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414-2,see fine either professional success alert attentive getting job done timely manner alert toe nan feel game sorry think change feel uninformed also keep trying make group allow got middle bottom,1,6.6,10.0,0.0,0.0011947431302270011,0.002127659574468085,0.0,0.05569999999999999,0.8492999999999998,0.095,0.04220999999999999,1.1,0.3,0.0,0.8,0.2,0.1,0.1,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406-4,sound good fire yeah saw one yeah absolutely thrilling best fire fighter ever apparently totally see time go exploring wa serious fire lot area last time work find water tank fuel mean already got water helicopter training session sure wa ya look way maybe extinguish perimeter first best whatever condition professional success motivation teamwork also important following rule getting along going beyond always right thing improving interact work fellow employee big part successful yes agreed think covered think plan wa good focus perimeter first yeah doe seem way chat also seem take show second mean time start game wow two red fire engine time experiment anything possible bottom right like two engine one sure,1,6.934210526315789,38.0,0.02099737532808399,0.009422850412249705,0.016985138004246284,0.027777777777777776,0.03147368421052632,0.7426578947368423,0.22586842105263158,0.18785000000000002,1.1578947368421053,0.15789473684210525,0.0,0.5,0.18421052631578946,0.47368421052631576,0.07894736842105263,0.02631578947368421,0.02631578947368421,0.13157894736842105,0.05263157894736842,0.02631578947368421,0.0,0.10526315789473684,0.0,0.0,0.02631578947368421,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411-2,clever observation occasion got de middle think phew wipe sweat brow want start major slow clap think ha lot team working well together communicating well painted stuff think ha minute nan thought money important doe make successful job excuse spelling math mine art two two ruck truck dude figured select multiple hold mouse button move want control hungry oh assume woman death select lying around hold mouse button move want control,1,7.061538461538461,38.0,0.020895522388059702,0.008771929824561403,0.01282051282051282,0.009114583333333334,0.08074358974358975,0.7578974358974359,0.16141025641025641,0.028212820512820497,0.7631578947368421,0.02631578947368421,0.0,0.34210526315789475,0.10526315789473684,0.13157894736842105,0.07894736842105263,0.02631578947368421,0.0,0.18421052631578946,0.07894736842105263,0.02631578947368421,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438-3,much water doe tank hold nothing helicopter fun get like fire half either terrible speed like make sense left truck linger area lot fire pop helicopter make trip faster tower city many player game many truck many helicopter one truck three u lookout house burn soon already full may better wait near something burn rather tower house left top right top right although cant complex without gaming experience sudden involved thought chill unburned area case another breakout view success everything closer goal set guess condition sort thing need place succeed like ca professional success without drive reason agree improve success setting clear goal timetable sort follow reasoning full considering pro con situation yeah also money let real hard get anywhere without matter good intention smart right easily fall behind stay informed sum game going start minute ready would go ahead zoom see whole map familiarize house middle good idea fire doe seem start burned area shift attention green unburned house think like four u vehicle moving bunch mid bottom house ugh well think saved majority watch burn right go wow wow quit sorry citizen sorry forest better luck next time,1,7.186274509803922,51.0,0.031496062992125984,0.009937888198757764,0.017817371937639197,0.009184845005740528,0.08009803921568627,0.7288627450980392,0.19103921568627452,0.11380392156862745,1.7254901960784315,0.11764705882352941,0.0,0.6470588235294118,0.11764705882352941,0.23529411764705882,0.0392156862745098,0.09803921568627451,0.0,0.27450980392156865,0.19607843137254902,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0196078431372549,0.0392156862745098,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321-4,want section look way seem far may strictly necessary say something someone stay close lower town could tough nan think quiet home stretch guy long doe session go ditto guess question wa really process anything need one either nan anything anyone feel add yeah bit trouble yes alright b next question think think wa good point b c went together guy satisfied oh man fuel going whole time stay upper left unless someone need support alright go pick right vehicle tell one experimenter cause good pilot call know long one go people safe,1,7.222222222222222,45.0,0.015384615384615385,0.007246376811594203,0.010582010582010581,0.007633587786259542,0.018222222222222223,0.8387111111111112,0.14306666666666665,0.08439777777777778,0.7333333333333333,0.1111111111111111,0.022222222222222223,0.37777777777777777,0.022222222222222223,0.24444444444444444,0.08888888888888889,0.0,0.0,0.2222222222222222,0.044444444444444446,0.06666666666666667,0.022222222222222223,0.06666666666666667,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428-4,sup see dont see fire rest ha already whats didnt notice thats thought successfully task guy comedian professional clown lost conversation still lost one ha urinate one help got one think instructor hot even backside saying middle fire suck let burn rather pour salt snail rest ha already,1,7.431818181818182,21.0,0.021164021164021163,-0.0004,0.008620689655172414,0.004889975550122249,0.14254545454545456,0.7346363636363636,0.12281818181818181,-0.026031818181818187,0.8571428571428571,0.0,0.0,0.47619047619047616,0.047619047619047616,0.2857142857142857,0.23809523809523808,0.0,0.0,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
352-4,agreed got fail definitely really told thing somewhat organized try give truck space cover helicopter yeah thats good idea instead everyone going everywhere middle yeah wa big problem whole refueling thing think way would work yeah sound good helicopter middle alrighty ready dont one time lovely wa great start yeah think yep well thats unfortunate hate game conspiracy helicopter middle,1,7.478571428571429,27.0,0.023809523809523808,0.00315955766192733,0.0036363636363636364,0.0025284450063211127,0.10871428571428572,0.63725,0.2540357142857143,0.08496071428571426,0.8148148148148148,0.1111111111111111,0.0,0.5925925925925926,0.07407407407407407,0.3333333333333333,0.07407407407407407,0.037037037037037035,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419-4,sound good fire come mine wander fireman get waiting fire start inside car one side car another death saving forest guess thats sitting psychology fire improve professional success bind b saying college else sound good improve better living always help better anything stress help mean strategy fire could divide map region dont let town burn get wind speed thats wa successful could divide map region,1,7.555555555555555,35.0,0.01048951048951049,0.0036809815950920245,0.005484460694698354,0.004531722054380665,0.08991666666666667,0.7659444444444444,0.14411111111111113,0.045147222222222214,0.7714285714285715,0.22857142857142856,0.0,0.22857142857142856,0.11428571428571428,0.11428571428571428,0.0,0.0,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
