,SA,Turn Taking,Time,Total,Simulation,Total Turns,Total Turns 1,Total Turns 2,Total Turns 3,Total Turns 4
0,,2,,hi,0,304,37,86,84,97
1,,1,00:00:06.490000,hey there,0,304,37,86,84,97
2,,4,00:00:26.831000,any ideas on strategy?,0,304,37,86,84,97
3,,2,00:00:35.704000,None You,0,304,37,86,84,97
4,,4,00:01:09.545000,im sure quandrants will work jus fine for an even area,0,304,37,86,84,97
5,,1,00:01:15.194000,we should just try diferent areas,0,304,37,86,84,97
6,,4,00:01:50.932000,keep up with the edges so it cant advance,0,304,37,86,84,97
7,,3,00:02:24.227000,I am unable to select my vehicle,0,304,37,86,84,97
8,,4,00:02:33.038000,one firetruck and heli per forest patch,0,304,37,86,84,97
9,6.0,2,00:02:38.832000,Try another vehicle,0,304,37,86,84,97
10,,3,00:02:44.945000,the forest to the bottom left is almost gone,0,304,37,86,84,97
11,,3,00:03:10.972000,nope nothing. they made me restart my training. not working at all.,0,304,37,86,84,97
12,,4,00:03:20.243000,lol,0,304,37,86,84,97
13,,3,00:03:27.467000,yea awesome.,0,304,37,86,84,97
14,,2,00:03:34.790000,Oh no!,0,304,37,86,84,97
15,,2,00:03:49.852000,Still nothing?,0,304,37,86,84,97
16,,4,00:03:54.684000,ill bet the houses count for more than the forest\,0,304,37,86,84,97
17,,1,00:04:10.077000,hope so,0,304,37,86,84,97
18,,2,00:04:14.471000,That sounds like a safe bet,0,304,37,86,84,97
19,3.0,3,00:04:26.555000,nope nothing. I agree about houses. no fires there though... you think the fires randomly pop up without having to have a fire near them?,0,304,37,86,84,97
20,,2,00:04:35.865000,Yea probably,0,304,37,86,84,97
21,,4,00:04:56.504000,stay zoomed out if you arent fighting a fire already to see if a new one pops up,0,304,37,86,84,97
22,,2,00:05:16.723000,is this map small to you guys?,0,304,37,86,84,97
23,,1,00:05:21.072000,yeah,0,304,37,86,84,97
24,6.0,2,00:05:30.381000,Yea and I keep accidentally zooming in.,0,304,37,86,84,97
25,,4,00:05:32.641000,there are only 3 water towers also,0,304,37,86,84,97
26,,2,00:05:44.204000,It will probably get bigger,0,304,37,86,84,97
27,,4,00:05:48.425000,so someone is going to have to share,0,304,37,86,84,97
28,,4,00:05:55.858000,hopefully,0,304,37,86,84,97
29,,2,00:06:21.605000,See any fires?,0,304,37,86,84,97
30,,1,00:06:24.484000,now that we have 3 trucks each can have one tower,0,304,37,86,84,97
31,,1,00:06:31.259000,no fires,0,304,37,86,84,97
32,6.0,2,00:06:47.308000,So we just sit here and wait then?,0,304,37,86,84,97
33,6.0,3,00:06:50.298000,so we get three trucks and one heli?,0,304,37,86,84,97
34,,1,00:06:53.722000,looks like it,0,304,37,86,84,97
35,3.0,2,00:07:03.359000,I didn't see where it specified?,0,304,37,86,84,97
36,6.0,3,00:07:27.369000,i'm assuming our papers tell us what we are.,0,304,37,86,84,97
37,4.0,1,00:07:31.474000,if it told you guys to get trucks then it specified in the paper,0,304,37,86,84,97
38,,3,00:07:48.725000,fire in the middle of forest,0,304,37,86,84,97
39,,2,00:07:49.156000,wow I totally got lucky and just chose the right one!,0,304,37,86,84,97
40,,1,00:07:52.899000,fires,0,304,37,86,84,97
41,,4,00:07:52.960000,k mine said heli but then i could only control a truck,0,304,37,86,84,97
42,3.0,4,00:08:07.523000,i cant move,0,304,37,86,84,97
43,6.0,3,00:08:18.098000,tell instructor,0,304,37,86,84,97
44,,2,00:08:27.850000,What happens when the fuel level depletes?,0,304,37,86,84,97
45,3.0,3,00:08:35.971000,before the real game actually starts...,0,304,37,86,84,97
46,3.0,1,00:08:36.551000,no water,0,304,37,86,84,97
47,6.0,3,00:08:44.479000,select a new vehicle?,0,304,37,86,84,97
48,6.0,1,00:08:58.028000,when it depletes you need to get more water,0,304,37,86,84,97
49,,4,00:09:05.168000,i got it working now,0,304,37,86,84,97
50,6.0,2,00:09:06.838000,Okay hopefully that will work.,0,304,37,86,84,97
51,3.0,3,00:09:24.755000,oh i thought you were saying there is another bar for fuel.,0,304,37,86,84,97
52,4.0,2,00:09:41.199000,Well there is to the side of the screen.,0,304,37,86,84,97
53,3.0,1,00:09:48.671000,not that  Iknow of,0,304,37,86,84,97
54,3.0,2,00:09:51.987000,Where it shows your vehicle info,0,304,37,86,84,97
55,3.0,3,00:09:57.189000,i thought that was wind speed,0,304,37,86,84,97
56,,3,00:10:00,oh ok,0,304,37,86,84,97
57,,4,00:00:00,spread out,1,304,37,86,84,97
58,,2,00:00:03.806000,I'll take top\,1,304,37,86,84,97
59,,3,00:00:07.860000,i still cant select anything,1,304,37,86,84,97
60,,4,00:00:10.298000,bottom left,1,304,37,86,84,97
61,,2,00:00:25.932000,top right sorry,1,304,37,86,84,97
62,,3,00:00:30.253000,i've got bottom left,1,304,37,86,84,97
63,,3,00:00:35.152000,:),1,304,37,86,84,97
64,6.0,4,00:00:36.762000,keep an eye on wind direction,1,304,37,86,84,97
65,,2,00:00:57.745000,Someone needs to take top left.,1,304,37,86,84,97
66,6.0,3,00:01:09.368000,i'm going,1,304,37,86,84,97
67,,4,00:01:12.360000,fire,1,304,37,86,84,97
68,,4,00:01:34.522000,fire on the right,1,304,37,86,84,97
69,,4,00:02:03.736000,quandrants are a b c d right?,1,304,37,86,84,97
70,3.0,4,00:02:09.807000,like on a graph,1,304,37,86,84,97
71,,3,00:02:21.449000,bottom right!,1,304,37,86,84,97
72,,4,00:02:27.556000,need help in d,1,304,37,86,84,97
73,,2,00:03:11.696000,Sp protect the cities first and foremost?,1,304,37,86,84,97
74,,1,00:03:18.226000,yeah,1,304,37,86,84,97
75,,3,00:03:22.846000,yes,1,304,37,86,84,97
76,,4,00:03:28.853000,if you see fire head there first then type location while you move there,1,304,37,86,84,97
77,,4,00:03:42.252000,b,1,304,37,86,84,97
78,,4,00:04:05.526000,the fire also moves in a direction lets try to head it off,1,304,37,86,84,97
79,,2,00:04:22.265000,Okay sounds good.,1,304,37,86,84,97
80,,4,00:04:47.973000,c,1,304,37,86,84,97
81,,3,00:05:09.987000,a,1,304,37,86,84,97
82,,4,00:05:24.548000,good job guys!,1,304,37,86,84,97
83,,4,00:05:30.039000,c,1,304,37,86,84,97
84,,3,00:05:30.594000,i'm controlling four vehicles???,1,304,37,86,84,97
85,,2,00:05:47.545000,B,1,304,37,86,84,97
86,,4,00:06:01.984000,omw,1,304,37,86,84,97
87,3.0,3,00:06:09.868000,does anyone else see that i'm controlling four in a?,1,304,37,86,84,97
88,,4,00:06:16.922000,lol yeah,1,304,37,86,84,97
89,,1,00:06:21.953000,yeah how did that happen?,1,304,37,86,84,97
90,6.0,2,00:06:22.866000,Haha yea just go with it!,1,304,37,86,84,97
91,,3,00:06:27.439000,i have no idea! :D,1,304,37,86,84,97
92,6.0,2,00:06:31.437000,Maybe you can put out more fires that way!,1,304,37,86,84,97
93,,3,00:06:32.146000,c,1,304,37,86,84,97
94,,4,00:06:35.197000,this is now an RTS game,1,304,37,86,84,97
95,,3,00:06:37.415000,a,1,304,37,86,84,97
96,,2,00:06:37.894000,A,1,304,37,86,84,97
97,,3,00:07:17.612000,houses,1,304,37,86,84,97
98,,3,00:07:19.961000,a,1,304,37,86,84,97
99,,4,00:07:20.236000,houses!,1,304,37,86,84,97
100,,3,00:08:47.635000,11 minutes left,1,304,37,86,84,97
101,,3,00:08:55.960000,not eleven 6 lol,1,304,37,86,84,97
102,3.0,2,00:09:03.054000,Does that temp bar mean anything?,1,304,37,86,84,97
103,,3,00:09:08.307000,speed,1,304,37,86,84,97
104,,2,00:09:13.914000,Ah okay,1,304,37,86,84,97
105,,3,00:09:15.733000,of wind i think,1,304,37,86,84,97
106,,3,00:09:29.779000,aw now i only have 2 trucks,1,304,37,86,84,97
107,,4,00:09:37.599000,alas,1,304,37,86,84,97
108,,2,00:09:40.489000,Haha aww oh well.,1,304,37,86,84,97
109,,1,00:09:40.799000,houses,1,304,37,86,84,97
110,,4,00:10:31.315000,b,1,304,37,86,84,97
111,,4,00:11:16.013000,middl3e,1,304,37,86,84,97
112,,4,00:11:34.797000,c,1,304,37,86,84,97
113,,3,00:12:07.844000,well that's over,1,304,37,86,84,97
114,,4,00:12:33.905000,still have most the houses though,1,304,37,86,84,97
115,,1,00:12:35.405000,ok then,1,304,37,86,84,97
116,,4,00:12:41.491000,heh,1,304,37,86,84,97
117,,2,00:12:42.644000,Dang that went fast,1,304,37,86,84,97
118,,1,00:12:50.054000,no joke,1,304,37,86,84,97
119,,4,00:12:53.344000,c,1,304,37,86,84,97
120,3.0,3,00:12:56.954000,she came over and fixed my glitch :(,1,304,37,86,84,97
121,,4,00:13:03.294000,aww,1,304,37,86,84,97
122,,1,00:13:05.269000,aw bummer,1,304,37,86,84,97
123,,2,00:13:08.653000,Dang,1,304,37,86,84,97
124,,4,00:13:10.019000,ive got fire,1,304,37,86,84,97
125,,3,00:13:19.691000,where?,1,304,37,86,84,97
126,,4,00:13:26.275000,it wont go out,1,304,37,86,84,97
127,,4,00:13:40.045000,c,1,304,37,86,84,97
