,Turn Taking,Time,Total,Simulation,SA,Total Turns,Total Turns 1,Total Turns 2,Total Turns 3,Total Turns 4
0,4,00:00:47.628000,So who wants which sections?,0,3.0,139,55,21,18,45
1,1,00:01:38.903000,im easy,0,,139,55,21,18,45
2,1,00:03:11.877000,no fire?,0,,139,55,21,18,45
3,4,00:03:25.327000,Looks that way for now,0,,139,55,21,18,45
4,1,00:03:28.878000,B sectoni,0,,139,55,21,18,45
5,3,00:04:47.004000,I'll stay over her in case anything breaks out,0,5.0,139,55,21,18,45
6,1,00:04:48.030000,are we going with the sections in the slideshow?,0,5.0,139,55,21,18,45
7,4,00:05:15.609000,We seem to be doing ok so far so that may not be strictly necessary,0,3.0,139,55,21,18,45
8,1,00:06:00.535000,so much for that town lol,0,,139,55,21,18,45
9,4,00:06:11.861000,I just Had to say something...,0,,139,55,21,18,45
10,4,00:06:46.582000,Someone should stay close to the lower town,0,,139,55,21,18,45
11,1,00:07:06.693000,so we dont ahve a 2nd helicoptor?,0,3.0,139,55,21,18,45
12,4,00:07:17.240000,We should,0,,139,55,21,18,45
13,1,00:07:33.099000,what is the speed on the fire trucks?,0,4.0,139,55,21,18,45
14,1,00:07:39.738000,Fre in a,0,,139,55,21,18,45
15,2,00:07:44.684000,60mph,0,4.0,139,55,21,18,45
16,1,00:08:25.583000,yall have way more water tho,0,3.0,139,55,21,18,45
17,1,00:08:39.356000,?,0,,139,55,21,18,45
18,1,00:00:11.673000,holy shit,1,,139,55,21,18,45
19,4,00:00:18.566000,this could be tough,1,,139,55,21,18,45
20,1,00:00:25.078000,every one take a corner?,1,,139,55,21,18,45
21,4,00:00:49.737000,,1,,139,55,21,18,45
22,1,00:00:58.523000,well Helicopters need to take the areas farthest away from water towers rucks stay kinda near the towers,1,,139,55,21,18,45
23,3,00:01:07.411000,I'll cover this area in between the forest and the houses,1,5.0,139,55,21,18,45
24,1,00:03:00.811000,dont forget you can zoom out,1,6.0,139,55,21,18,45
25,3,00:03:11.332000,be aware of your fuel level,1,,139,55,21,18,45
26,1,00:03:23.736000,where do we refule?,1,,139,55,21,18,45
27,3,00:03:37.190000,im not sure,1,,139,55,21,18,45
28,4,00:03:46.878000,I don't think we can,1,,139,55,21,18,45
29,1,00:04:12.154000,the vehicals respawn,1,,139,55,21,18,45
30,3,00:04:20.007000,jus be tactical in your movement,1,6.0,139,55,21,18,45
31,4,00:04:50.124000,It's too quiet,1,,139,55,21,18,45
32,1,00:06:27.582000,my game does not like to scroll,1,4.0,139,55,21,18,45
33,1,00:06:33.737000,middle forest,1,,139,55,21,18,45
34,3,00:08:34.993000,where the hell is smokey the bear?!!?,1,,139,55,21,18,45
35,1,00:08:39.395000,lol,1,,139,55,21,18,45
36,2,00:08:42.889000,lol,1,,139,55,21,18,45
37,4,00:08:47.236000,XD,1,,139,55,21,18,45
38,4,00:09:14.137000,Home stretch guys,1,,139,55,21,18,45
39,4,00:10:15.813000,Or not. How long does this session go?,1,,139,55,21,18,45
40,1,00:10:19.484000,15,1,,139,55,21,18,45
41,3,00:10:45.532000,anybody low on fuel?,1,,139,55,21,18,45
42,1,00:10:54.007000,79/100,1,,139,55,21,18,45
43,4,00:10:59.234000,ditto,1,,139,55,21,18,45
44,3,00:11:07.832000,same,1,,139,55,21,18,45
45,1,00:11:39.831000,wow ok,1,,139,55,21,18,45
46,4,00:12:27.988000,Dangit,1,,139,55,21,18,45
47,1,00:13:13.492000,we should try to get ahead of it rather than fight what is allready burning,1,,139,55,21,18,45
48,1,00:13:53.903000,so idk how i did that,1,,139,55,21,18,45
49,4,00:14:06.762000,did what?,1,,139,55,21,18,45
50,2,00:14:12.523000,?,1,,139,55,21,18,45
51,1,00:14:13.207000,flying 2 helicopters,1,3.0,139,55,21,18,45
52,1,00:00:17.444000,6 people in here?,2,3.0,139,55,21,18,45
53,4,00:00:25.786000,I guess so,2,,139,55,21,18,45
54,1,00:00:34.661000,well this will be easy,2,,139,55,21,18,45
55,4,00:00:39.389000,So question A,2,,139,55,21,18,45
56,4,00:00:50.262000,We just kinda talked about it,2,,139,55,21,18,45
57,2,00:00:53.560000,organized?,2,,139,55,21,18,45
